# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Chair|A piece of furniture with four legs, you sit on it.|قطعة أثاث بأربع أرجل، نجلس عليها.
Table|Flat furniture you eat or work on.|أثاث بسطح مستوٍ نأكل أو نعمل عليه.
Door|You open and close it to enter a room.|نفتحه ونغلقه للدخول إلى الغرفة.
Window|Glass opening in the wall, lets light in.|فتحة زجاجية في الجدار تدخل الضوء.
Bed|You sleep on it every night.|ننام عليه كل ليلة.
Pillow|Soft thing you put your head on to sleep.|شيء ناعم نضع عليه الرأس عند النوم.
Blanket|Keeps you warm on the bed in winter.|يدفئنا فوق السرير في الشتاء.
Mirror|You look at it to see yourself.|ننظر إليه لنرى أنفسنا.
Clock|Hangs on the wall and tells the time.|يُعلق على الجدار ويخبرنا بالوقت.
Key|Small metal thing that opens a lock.|قطعة معدنية صغيرة تفتح القفل.
Lamp|Gives light in the room at night.|يعطي ضوءا في الغرفة ليلا.
Television|A screen the family watches shows and news on.|شاشة تشاهد عليها العائلة البرامج والأخبار.
Refrigerator|Keeps food and drinks cold in the kitchen.|يحفظ الطعام والشراب باردا في المطبخ.
Oven|You bake bread and cook food inside it, it gets hot.|نخبز فيه الخبز ونطبخ الطعام، يصبح ساخنا.
Spoon|You eat soup and rice with it.|نأكل بها الحساء والأرز.
Fork|Eating tool with sharp points to pick food.|أداة أكل برؤوس مدببة لالتقاط الطعام.
Knife|Sharp tool for cutting food.|أداة حادة لتقطيع الطعام.
Plate|Round dish you put food on.|صحن دائري نضع فيه الطعام.
Cup|You drink tea or coffee from it.|نشرب منه الشاي أو القهوة.
Bottle|Holds water or juice, has a cap.|تحمل الماء أو العصير ولها غطاء.
Apple|Round fruit, red or green, keeps the doctor away.|فاكهة مستديرة حمراء أو خضراء ومفيدة للصحة.
Banana|Long yellow fruit, monkeys love it.|فاكهة طويلة صفراء يحبها القرد.
Orange|Round orange fruit full of juice.|فاكهة برتقالية مستديرة مليئة بالعصير.
Lemon|Yellow sour fruit, used in drinks and salads.|فاكهة صفراء حامضة تستخدم في المشروبات والسلطات.
Egg|The hen lays it, you eat it for breakfast.|تبيضه الدجاجة ونأكله في الفطور.
Cheese|Made from milk, yellow or white, eaten with bread.|يُصنع من الحليب، أصفر أو أبيض، يؤكل مع الخبز.
Milk|White drink that comes from the cow.|شراب أبيض يأتي من البقرة.
Water|You drink it every day, it falls as rain.|نشربه كل يوم وينزل من السماء مطرا.
Coffee|Hot dark drink that wakes you up in the morning.|مشروب ساخن داكن يوقظنا في الصباح.
Tea|Hot drink made from leaves, served in small cups.|مشروب ساخن من أوراق نبتة يقدم في أكواب صغيرة.
Sugar|White and sweet, you put it in tea.|أبيض وحلو نضعه في الشاي.
Salt|White grains that make food tasty, from the sea.|حبيبات بيضاء تطيب الطعام وتأتي من البحر.
Pepper|Spice that makes food hot, black or ground.|بهار يجعل الطعام حارا، أسود أو مطحون.
Chicken|Farm bird we eat grilled or fried.|طائر المزرعة نأكله مشويا أو مقليا.
Fish|Lives in water, swims, we eat it grilled.|يعيش في الماء ويسبح ونأكله مشويا.
Cake|Sweet baked dessert for birthdays.|حلوى مخبوزة نأكلها في أعياد الميلاد.
